city,state,2023 estimate,2020 census,land area,latitude,longitude,abbrev
Pearland,Texas,127736,125828,48.7,29.56,-95.32,TX
Clovis,California,125826,120124,25.4,36.83,-119.68,CA
Topeka,Kansas,125475,126587,61.4,39.03,-95.69,KS
College Station,Texas,125192,120511,51.2,30.59,-96.3,TX
Simi Valley,California,125113,126356,41.5,34.27,-118.75,CA
Allentown,Pennsylvania,124880,125845,17.6,40.59,-75.48,PA
West Palm Beach,Florida,124130,117415,53.8,26.75,-80.13,FL
Thousand Oaks,California,123463,126966,55.3,34.19,-118.87,CA
Vallejo,California,122807,126090,30.4,38.11,-122.26,CA
Wilmington,North Carolina,122698,115451,51.4,34.21,-77.89,NC
Rochester,Minnesota,122413,121395,55.5,44.02,-92.48,MN
Concord,California,122315,125410,30.6,37.97,-122.0,CA
Lakeland,Florida,122264,112641,66.2,28.06,-81.95,FL
North Charleston,South Carolina,121469,114852,77.6,32.92,-80.07,SC
Lafayette,Louisiana,121467,121374,55.8,30.21,-92.03,LA
Arvada,Colorado,121414,124402,38.9,39.83,-105.15,CO
Independence,Missouri,120922,123011,78,39.09,-94.35,MO
Billings,Montana,120864,117116,44.8,45.79,-108.55,MT
Fairfield,California,120768,119881,41.6,38.26,-122.03,CA
Hartford,Connecticut,119669,121054,17.4,41.77,-72.68,CT
Ann Arbor,Michigan,119381,123851,28.2,42.28,-83.73,MI
Broken Arrow,Oklahoma,119194,113540,63,36.04,-95.78,OK
Berkeley,California,118962,124321,10.4,37.87,-122.3,CA
Cambridge,Massachusetts,118214,118403,6.4,42.38,-71.12,MA
Richardson,Texas,117435,119469,28.6,32.97,-96.71,TX
Antioch,California,117096,115291,29.2,37.98,-121.8,CA
High Point,North Carolina,116926,114059,56.4,35.99,-79.99,NC
Clearwater,Florida,116850,117292,26.1,27.98,-82.77,FL
League City,Texas,116320,114392,51.3,29.49,-95.11,TX
Odessa,Texas,115743,114428,51.1,31.88,-102.35,TX
Manchester,New Hampshire,115474,115644,33.1,42.98,-71.44,NH
Evansville,Indiana,115332,117298,47.4,37.99,-87.53,IN
Waterbury,Connecticut,114990,114403,28.5,41.56,-73.04,CT
West Jordan,Utah,114908,116961,32.3,40.6,-112.0,UT
Las Cruces,New Mexico,114892,111385,76.9,32.33,-106.79,NM
Westminster,Colorado,114875,116317,31.6,39.88,-105.06,CO
Lowell,Massachusetts,114296,115554,13.6,42.64,-71.32,MA
Nampa,Idaho,114268,100200,33.5,43.58,-116.56,ID
Richmond,California,114106,116448,30.1,37.95,-122.36,CA
Pompano Beach,Florida,113619,112046,24,26.24,-80.13,FL
Carlsbad,California,113495,114746,37.8,33.13,-117.28,CA
Menifee,California,113433,102527,46.5,33.69,-117.18,CA
Provo,Utah,113343,115162,41.7,40.25,-111.65,UT
Elgin,Illinois,113310,114797,38,42.04,-88.33,IL
Greeley,Colorado,112609,108795,48.9,40.41,-104.77,CO
Springfield,Illinois,112544,114394,61.1,39.79,-89.64,IL
Beaumont,Texas,112193,115282,82.5,30.08,-94.15,TX
Lansing,Michigan,112115,112644,39.1,42.71,-84.56,MI
Murrieta,California,111878,110949,33.6,33.57,-117.19,CA
Goodyear,Arizona,111805,95294,191.3,33.25,-112.37,AZ
Allen,Texas,111620,104627,26.4,33.11,-96.67,TX
Tuscaloosa,Alabama,111338,99600,61.9,33.23,-87.53,AL
Everett,Washington,111180,110629,33.2,47.95,-122.19,WA
Pueblo,Colorado,111077,111876,55.4,38.27,-104.61,CO
New Braunfels,Texas,110958,90403,45.2,29.7,-98.12,TX
South Fulton,Georgia,110920,107436,85.2,33.66,-84.57,GA
Miami Gardens,Florida,110717,111640,18.2,25.95,-80.24,FL
Gresham,Oregon,110685,114247,23.5,45.5,-122.44,OR
Temecula,California,110682,110003,37.3,33.49,-117.13,CA
Rio Rancho,New Mexico,110660,104046,103.4,35.29,-106.7,NM
Peoria,Illinois,110460,113150,48,40.75,-89.62,IL
Tyler,Texas,110327,105995,57.5,32.32,-95.31,TX
Sparks,Nevada,110323,108445,36.4,39.57,-119.72,NV
Concord,North Carolina,110119,105240,63.5,35.39,-80.64,NC
Santa Maria,California,109987,109707,22.8,34.93,-120.44,CA
Ventura,California,109058,110763,21.9,34.27,-119.25,CA
Buckeye,Arizona,108909,91502,393,33.43,-112.64,AZ
Downey,California,108816,114355,12.4,33.94,-118.13,CA
Sugar Land,Texas,108515,111026,40.5,29.59,-95.63,TX
Costa Mesa,California,108354,111918,15.8,33.67,-117.91,CA
Conroe,Texas,108248,89956,72,30.32,-95.49,TX
Spokane Valley,Washington,108235,102976,37.7,47.66,-117.23,WA
Davie,Florida,107799,105691,34.9,26.08,-80.28,FL
Hillsboro,Oregon,107730,106447,25.7,45.53,-122.94,OR
Jurupa Valley,California,107321,105053,42.9,34.0,-117.47,CA
Centennial,Colorado,106883,108418,29.7,39.59,-104.87,CO
Edison,New Jersey,106836,107588,30.1,40.5,-74.35,NJ
Boulder,Colorado,105898,108250,26.3,40.02,-105.25,CO
Dearborn,Michigan,105811,109976,24.2,42.31,-83.21,MI
Edinburg,Texas,105799,100243,44.7,26.32,-98.16,TX
Sandy Springs,Georgia,105793,108080,37.7,33.93,-84.37,GA
Green Bay,Wisconsin,105744,107395,45.5,44.52,-87.99,WI
West Covina,California,105617,109501,16,34.06,-117.91,CA
Brockton,Massachusetts,104890,105643,21.3,42.08,-71.02,MA
St. George,Utah,104578,95342,78.5,37.08,-113.56,UT
Bend,Oregon,104557,99178,33.6,44.06,-121.31,OR
Renton,Washington,104491,106785,23.5,47.48,-122.19,WA
Lee's Summit,Missouri,104184,101108,63.9,38.92,-94.38,MO
Fishers,Indiana,104094,98977,35.6,39.96,-85.97,IN
El Monte,California,103794,109450,9.6,34.07,-118.03,CA
South Bend,Indiana,103395,103453,42,41.68,-86.27,IN
Rialto,California,103391,104026,24.1,34.12,-117.39,CA
Woodbridge,New Jersey,103194,103639,23.3,40.56,-74.29,NJ
El Cajon,California,102991,106215,14.5,32.8,-116.96,CA
Inglewood,California,102865,107762,9.1,33.96,-118.34,CA
Burbank,California,102755,107337,17.3,34.19,-118.33,CA
Wichita Falls,Texas,102691,102316,72,33.91,-98.53,TX
Vacaville,California,102526,102386,29.9,38.36,-121.97,CA
Carmel,Indiana,102296,99757,49.1,39.97,-86.15,IN
Palm Coast,Florida,102113,89258,95.4,29.54,-81.24,FL
Fayetteville,Arkansas,101680,93949,54.1,36.07,-94.17,AR
Quincy,Massachusetts,101597,101636,16.6,42.26,-71.01,MA
San Mateo,California,101327,105661,12.1,37.56,-122.31,CA
Chico,California,101301,101475,34.1,39.76,-121.82,CA
Lynn,Massachusetts,101241,101253,10.7,42.47,-70.96,MA
Albany,New York,101228,99224,21.4,42.67,-73.8,NY
Yuma,Arizona,100858,95548,120.7,32.52,-114.52,AZ
New Bedford,Massachusetts,100695,101079,20,41.66,-70.94,MA
Suffolk,Virginia,100659,94324,399.2,36.7,-76.63,VA
Hesperia,California,100633,99818,72.7,34.4,-117.32,CA
Davenport,Iowa,100354,101724,63.8,41.56,-90.6,IA
