city,state,biking,climbing,housing,vegan,winter,summer,total
Portland,Oregon,1.2761547730314902,1.0792751439298964,-0.52788345783092,2.4271984473502033,2.4558457909361744,0.05719171897911405,1.1377014544932122
Bend,Oregon,1.897338409355363,3.349549190900405,-1.03931720886075,2.0194005892080744,2.339035952556323,-0.08674141042775065,1.025943266366252
Berkeley,California,1.2280198845045687,3.485266130696362,-1.8996433266216042,2.418151934837825,3.0899545450074717,0.15668727096059054,0.9986340617377703
Boulder,Colorado,2.7355425859771167,4.790595119166142,-0.8717564910268438,0.5155880716662721,2.40881162875572,-0.2134655889300487,0.9149440412884431
Eugene,Oregon,1.897338409355363,2.1677429429596815,-0.29625868469974054,0.4452769184885905,2.448620212787404,0.01841838409018577,0.9026790480043605
Cambridge,Massachusetts,2.5232874974146697,2.172437940254734,-1.6131457028160503,1.2048594179471115,2.5769026680395224,-0.35266699255854767,0.867847377605341
Oakland,California,0.5306241453903113,-0.7121560311307132,-1.0991068296546214,1.4722685400067144,3.013400029671862,0.14443019660084952,0.8123232164030231
Seattle,Washington,1.0414133153277958,2.304568081915009,-1.2244720938471914,1.1670645581650743,2.745926548164842,0.24284031085353588,0.7945545277328113
Gainesville,Florida,0.7225260098595983,0.8697293881252717,0.6653947979991492,0.05415395926269926,3.283407577005453,-0.8614107059229681,0.7728143276407863
San Francisco,California,1.4262559523154026,1.7196486353065847,-1.9719218285052453,1.4301420181116,2.8233693491539276,0.15022418373845545,0.771613934962828
New Orleans,Louisiana,0.2409267066499544,-0.4506385354311733,0.3627869712741394,1.1667454429823603,3.241907888632133,-1.162742957150276,0.7699248104776621
Salt Lake City,Utah,0.7244608847282589,1.9312108094961,-0.5734455699510683,1.963632287188477,1.7803574772372437,-0.189966849161464,0.7410076460082895
Washington,District of Columbia,1.1940154358576618,-1.3495132374277774,-0.9516338118144867,1.4198738344308066,2.6182463091906554,-0.6516960717249674,0.7257611391879338
Atlanta,Georgia,-1.2736135205748798,0.6459778595613161,-0.20123058198789404,2.4781006867678625,3.0384077985254203,-0.5477401544271143,0.698784845660679
Fort Collins,Colorado,1.9453470877512633,0.6451167184683764,-0.4015501911115056,-0.4923868052815587,2.3880519940365867,-0.09378882537064402,0.6691346520048284
College Station,Texas,0.8692379126856155,2.0896964688979796,0.5515870889414465,-0.04780705485195543,3.1831611071229124,-1.2628922823931918,0.6586573543009654
St. Petersburg,Florida,-0.29106603030518896,0.015745729008254005,-0.14163941768658803,1.4632047059794755,3.272675322411154,-1.0327115374990246,0.6540926085799657
Richmond,Virginia,-0.2728477106939995,1.2169359888641575,0.19187947629407628,0.986323060722741,2.5351946639457035,-0.3837452305898324,0.6113608519357377
Denton,Texas,0.26460328382859216,0.7507310866983263,-0.01206000564893841,0.6132275629483914,2.866677170306918,-0.8944094853100885,0.5676077052249748
Sunnyvale,California,0.2867881109392899,0.8100807702596052,-1.8784174828143603,1.1320088651469673,3.180533244397165,0.043104070951961095,0.5528033617242045
Philadelphia,Pennsylvania,0.5859338983335941,0.2664930652101599,0.2567145309696198,0.12898954146022487,2.3959070355809176,-0.6365092472032082,0.5462071518282297
Sacramento,California,-0.5552325781866492,1.017723205742923,-0.4664944809868082,0.9246138013514413,3.013400029671862,-0.23528953138146422,0.5361994480936765
Carlsbad,California,0.5306241453903113,2.2312101019678936,-1.5321529258170359,0.4156346731053206,3.328391182109502,-0.14841472783874224,0.5188164693898711
Costa Mesa,California,-0.6828730751076038,2.8830489309631644,-1.5315697576337246,1.482511001379436,3.3197607997554215,-0.05059321359972229,0.5074471509587613
Tempe,Arizona,1.01249307979787,2.489100435501016,-0.15596230950250503,0.9365594124722373,3.311757870745279,-2.5708869805640817,0.50679221458976
Pittsburgh,Pennsylvania,-0.30901599145218317,1.3982699115855723,0.8434773602411413,0.4831588091720854,1.5437314206251733,-0.029002801717782734,0.5064697593736869
Long Beach,California,-0.9465705994297072,1.245620436917682,-1.1726274597995583,1.5004343359465073,3.356435433844957,-0.2616144299413131,0.4952114561241772
Boise,Idaho,0.6823410512776702,1.1785958259843903,-0.3352237797125467,0.21101730367676744,2.0394756706974153,-0.17736156776282389,0.4840497356352965
Huntington Beach,California,-0.4604805819312962,1.471763547041554,-1.3616340999034178,0.9192225240127752,3.3474400963996005,-0.0601857421979695,0.4768724392759385
Pasadena,California,-0.06349471933692448,2.9963508447228735,-1.560861837530487,1.0287723224152512,3.1564414776421823,-0.20397403724626215,0.471376641188752
Birmingham,Alabama,-1.8635845134563738,2.0232151765037343,2.1311983706986286,-0.37732275307999436,2.9302331292585877,-0.482448099522042,0.46761522677976125
Baltimore,Maryland,-1.2113465057830881,-1.0850221680217917,0.6754163695480503,1.0254018216718586,2.336212670985752,-0.530854786099492,0.4589659140646162
Charleston,South Carolina,0.22485566616932184,0.778140164508315,-0.39509634626015444,-0.037435264354257675,3.090948821554199,-0.5988651835510893,0.45688153871160386
Burbank,California,-0.9970483832860185,3.6965583417867753,-1.6673885475838137,1.9375664412905707,3.250719572579441,-0.2552589040665361,0.45371803578672865
Denver,Colorado,0.19656719530228367,2.3800720272415266,-0.6464362470712738,0.6051385828763,1.9770981551934423,-0.02992819956175342,0.4204878973477998
Madison,Wisconsin,0.9913565354056209,0.9268413642572563,-0.05523527506056418,-0.21066215949267866,1.2803574772372437,0.041428466202142133,0.4094490088583528
San Mateo,California,-0.5459063793911015,1.3948201915467722,-1.915691279991785,1.064671589854441,3.147310374445818,0.10482271523429929,0.37104140403033437
