wmo,name,latitude,longitude,summer,winter,winter_score,summer_score
722934,Oceanside.Muni.AP CA USA,33.219,-117.349,0.45652173913043476,0.8201388888888889,5.398438327339553,-0.10553441417235764
747850,McClellanville-Santee.Coastal.Reserve SC USA,33.153,-79.364,0.08220108695652174,0.7861111111111111,5.337303320774278,-2.578988599676523
720743,South.Padre.Island.Heli TX USA,26.071,-97.157,0.08831521739130435,0.7576388888888889,5.284080464266003,-2.475484023922663
994050,Lake.Worth.Pier FL USA,26.6127,-80.03388,0.07540760869565218,0.7576388888888889,5.284080464266003,-2.703435970601012
747470,Aransas.Natl.Wildlife.Refuge TX USA,28.305,-96.823,0.02717391304347826,0.7416666666666667,5.25334100962995,-4.175923742063755
747600,Univ.Louisiana LA USA,30.092,-91.873,0.07404891304347826,0.7402777777777778,5.250636800701572,-2.7296675121741916
998196,Mobile.State.Docks AL USA,30.7,-88.033,0.006793478260869565,0.7375,5.24521312874655,-6.175923742063755
722900,San.Diego.Intl.AP-Lindbergh.Field CA USA,32.734,-117.183,0.5577445652173914,0.7375,5.24521312874655,0.18338657482668724
723210,Stafford.AP-Cumberland.Island.Natl.Seashore GA USA,30.808,-81.46,0.04483695652173913,0.7361111111111112,5.242493627392958,-3.4534577175926646
994310,Alligator.Reef.Lighthouse FL USA,24.85176,-80.61886,0.12567934782608695,0.7354166666666667,5.241131951934732,-1.9664703764348057
722874,Los.Angeles-USC.Campus CA USA,34.024,-118.291,0.3797554347826087,0.7354166666666667,5.241131951934732,-0.37114736410792765
722370,Fairhope AL USA,30.549,-87.876,0.07269021739130435,0.7347222222222223,5.2397689900564215,-2.7563848505499706
722928,MCOLF.Camp.Pendleton-Red.Beach CA USA,33.286,-117.456,0.41983695652173914,0.7340277777777777,5.2384047393250786,-0.2263888090467433
722919,Solana.Beach CA USA,32.98,-117.27,0.5380434782608695,0.7340277777777777,5.2384047393250786,0.13150478312849168
722118,Venice.Muni.AP FL USA,27.072,-82.44,0.10801630434782608,0.73125,5.232934798968112,-2.1849688816667623
722917,Long.Beach CA USA,33.77,-118.17,0.38383152173913043,0.7284722222222222,5.227444040519663,-0.35574477964856777
722915,MCAF.Tustin CA USA,33.7,-117.833,0.3953804347826087,0.7263888888888889,5.223312214189337,-0.3129764940428339
722914,Mission.Beach CA USA,32.77066,-117.2514,0.5658967391304348,0.7256944444444444,5.2219323049106405,0.20432084841443
997807,Fort.Pierce FL USA,27.42558,-80.3221,0.09714673913043478,0.7243055555555555,5.219168520462161,-2.3379805001727285
722976,Fullerton.Muni.AP CA USA,33.872,-117.979,0.3919836956521739,0.7236111111111111,5.217784640220904,-0.32542432830563545
720592,Fairhope-Callahan.AP AL USA,30.46,-87.877,0.06114130434782609,0.7236111111111111,5.217784640220904,-3.0059987406214432
722117,Egmont.Key.Natl.Wildlife.Refuge FL USA,27.6,-82.76,0.11820652173913043,0.7229166666666667,5.216399431241813,-2.0549083411023896
747610,Upper.Ouachita.Natl.Wildlife.Refuge LA USA,32.883,-92.117,0.12432065217391304,0.7208333333333333,5.212235806300277,-1.9821519986670755
720672,Flagler.County.AP FL USA,29.467,-81.206,0.09510869565217392,0.7201388888888889,5.210845256755621,-2.368568820006151
722978,Huntington.Beach CA USA,33.6576,-117.9974,0.5074728260869565,0.7194444444444444,5.20945336562895,0.04711259583811946
722789,Scottsdale.AP AZ USA,33.623,-111.911,0.042119565217391304,0.71875,5.208060130329083,-3.5436555265642427
994220,Venice.Pier FL USA,27.0725,-82.4528,0.11413043478260869,0.71875,5.208060130329083,-2.1055344141723578
998000,Guana.Tolomato.Matanzas.Natl.Estuarine.Research.Reserve-Pellicer.Creek FL USA,29.6577,-81.2328,0.06929347826086957,0.7180555555555556,5.20666554825733,-2.8254264949796224
722956,Hawthorne.Muni.AP-Northrop.Field CA USA,33.923,-118.334,0.42459239130434784,0.7180555555555556,5.20666554825733,-0.21013945740166834
722019,CGS.Islamorada FL USA,24.95405,-80.58627,0.08220108695652174,0.7173611111111111,5.205269616807455,-2.578988599676523
722028,Fowey.Rocks.Lighthouse FL USA,25.5906,-80.09654,0.14266304347826086,0.7131944444444445,5.196865544260591,-1.7836063192849954
722330,Slidell.Muni.AP-New.Orleans.WFO LA USA,30.343,-89.822,0.08016304347826086,0.7131944444444445,5.196865544260591,-2.6152087875892764
998226,Rockport TX USA,28.01893,-97.05205,0.016304347826086956,0.7125,5.19546009354945,-4.912889336229962
722316,New.Orleans-NAS.JRB.New.Orleans-Callender.Field LA USA,29.817,-90.017,0.07880434782608696,0.7118055555555556,5.194053272335204,-2.6398708418235457
722973,Newport.Beach CA USA,33.6,-117.88,0.6494565217391305,0.7111111111111111,5.192645077942395,0.40301497102963096
722929,Oceanside.Harbor CA USA,33.22,-117.4,0.5441576086956522,0.7097222222222223,5.189824558880018,0.1478065954575924
696464,Tacts.AF AZ USA,32.5,-114.15,0.034646739130434784,0.7090277777777778,5.188412228820197,-3.8254264949796224
998013,NOLF.Imperial.Beach.AP CA USA,32.567,-117.117,0.6766304347826086,0.7083333333333334,5.186998514801254,0.46215009511696314
722103,Fort.Pierce-Treasure.Coast.Intl.AP FL USA,27.498,-80.377,0.09510869565217392,0.7083333333333334,5.186998514801254,-2.368568820006151
722403,Salt.Point LA USA,29.572,-91.531,0.04619565217391304,0.7069444444444445,5.184166924018092,-3.4103889957007785
722859,Dana.Point CA USA,33.4695,-117.7008,0.44972826086956524,0.7048611111111112,5.1799090900149345,-0.12716443014389997
721046,Gonzales-Louisiana.Rgnl.AP LA USA,30.173,-90.941,0.029211956521739132,0.7048611111111112,5.1799090900149345,-4.07158708224902
747761,Bonifay-Tri-County.AP FL USA,30.846,-85.601,0.09646739130434782,0.7041666666666667,5.178487014945737,-2.348104717446436
994450,Sombrero.Key.Lighthouse.Park FL USA,24.62776,-81.11081,0.09510869565217392,0.7020833333333333,5.17421235984541,-2.368568820006151
722927,Carlsbad-McClellan-Palomar.AP CA USA,33.128,-117.28,0.44904891304347827,0.7006944444444444,5.171355537048753,-0.12934537544342617
747660,Kennedy.Space.Center-Titusville FL USA,28.616,-80.693,0.043478260869565216,0.6993055555555555,5.16849304594918,-3.497851836951118
722906,San.Diego-NAS.North.Island-Halsey.Field CA USA,32.7,-117.2,0.623641304347826,0.6993055555555555,5.16849304594918,0.3444985064626901
994018,La.Jolla-Scripps.Pier CA USA,32.8658,-117.254,0.5692934782608695,0.6986111111111111,5.167059667747923,0.21295459674823364
998438,Berwick.Shore.Base.Heli LA USA,29.66198,-91.24207,0.06521739130434782,0.6979166666666666,5.165624864008687,-2.9128893362299615
749824,NOLF.Whitehouse FL USA,30.35043,-81.8786,0.12567934782608695,0.6979166666666666,5.165624864008687,-1.9664703764348057
722788,Phoenix.Goodyear.AP AZ USA,33.417,-112.383,0.043478260869565216,0.6958333333333333,5.161311871137604,-3.497851836951118
722885,Santa.Monica.AP CA USA,34.016,-118.451,0.5543478260869565,0.6958333333333333,5.161311871137604,0.17457350502037777
997733,Pulaski.Shoal.Lightstation FL USA,24.68,-82.77,0.05570652173913043,0.6958333333333333,5.161311871137604,-3.1402998323330342
994047,Pensacola.Harbor FL USA,30.4035,-87.2112,0.021059782608695652,0.6958333333333333,5.161311871137604,-4.543655526564242
722883,Redondo.Beach-Hermosa.Beach.Pier CA USA,33.86173,-118.4026,0.579483695652174,0.6930555555555555,5.155541083279656,0.23855009436717242
