RegionID,size,city,state,zhvi,score
10920,18,Columbus,OH,168740.0,0.8189069769099303
34312,484,Tonawanda,NY,169271.0,0.814374155807018
30236,472,Appleton,WI,169594.0,0.8116238532420829
54628,466,Sunrise,FL,171657.0,0.7941802933516382
7204,112,Spring,TX,174660.0,0.7691597382062393
26529,61,Pittsburgh,PA,174898.0,0.7671951917058648
53673,127,Ocala,FL,174936.0,0.7668817721310414
17571,269,Coral Springs,FL,175361.0,0.7633810530656417
38328,199,Edmond,OK,175501.0,0.7622297325097322
39220,459,Kenosha,WI,175779.0,0.7599462588983847
25574,71,Lexington,KY,176212.0,0.7563968086692076
37933,396,Clinton,MI,176907.0,0.7507178486126257
4099,60,Cincinnati,OH,177173.0,0.7485502200932542
19360,207,Midland,TX,178265.0,0.7396855070271862
18073,350,Fargo,ND,178417.0,0.7384558982468736
39051,2,Houston,TX,179002.0,0.7337332766035689
40152,34,Omaha,NE,179014.0,0.7336365639399051
37965,326,College Station,TX,179198.0,0.7321544477022004
6218,332,North Charleston,SC,180640.0,0.7205915922771604
25290,12,Jacksonville,FL,181171.0,0.7163569414969121
12014,147,Huntsville,AL,184077.0,0.6933996069968179
6915,4,San Antonio,TX,184429.0,0.6906434575238407
53787,356,Palm Bay,FL,185364.0,0.6833479016977541
47584,180,Savannah,GA,186008.0,0.6783443121021974
47847,265,Sterling Heights,MI,186965.0,0.6709407617964933
12455,19,Louisville,KY,187074.0,0.6700999202590691
53569,473,Newnan,GA,187437.0,0.6673032148814282
31821,164,Grand Prairie,TX,188238.0,0.6611510861588965
24960,122,Greenville,SC,189016.0,0.6552006213102048
32452,403,Lawrence,KS,189228.0,0.6535834039547648
11140,363,Douglasville,GA,189498.0,0.6515263615175808
25483,200,Lakeland,FL,192302.0,0.6303352162723178
44641,469,Cleveland,TN,192944.0,0.6255268025644564
25428,52,Knoxville,TN,193268.0,0.6231061978038318
10215,144,Aurora,IL,194015.0,0.6175407868148961
32542,430,Livonia,MI,194726.0,0.6122634565726451
6172,318,New Port Richey,FL,195907.0,0.6035400356917328
10843,187,Clarksville,TN,196777.0,0.5971473803290444
3523,31,Baltimore,MD,197288.0,0.5934057763849557
5595,369,Lehigh Acres,FL,198177.0,0.5869194473707667
6210,101,Norfolk,VA,198220.0,0.5866064485993253
